property.notFound	98	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$title.
property.notFound	99	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$company_name.
property.notFound	100	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$province.
property.notFound	101	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$city.
property.notFound	102	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$id.
property.notFound	107	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/GeneratedContentPublicController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$job_classification_id.
argument.unresolvableType	19	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Parameter #3 $callback of static method Illuminate\Cache\Repository::remember() contains unresolvable type.
staticMethod.unresolvableReturnType	19	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Return type of call to static method Illuminate\Cache\Repository::remember() contains unresolvable type.
argument.unresolvableType	67	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Parameter #1 $callback of method Illuminate\Database\Eloquent\Collection<int,App\Models\JobPost>::map() contains unresolvable type.
method.unresolvableReturnType	67	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Return type of call to method Illuminate\Database\Eloquent\Collection<int,App\Models\JobPost>::map() contains unresolvable type.
property.notFound	75	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$parent_id.
property.notFound	76	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$name.
method.nonObject	78	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Cannot call method toIso8601String() on string.
method.unresolvableReturnType	80	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Return type of call to method Illuminate\Support\Collection<int,array<string, mixed>>::all() contains unresolvable type.
method.unresolvableReturnType	80	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Return type of call to method Illuminate\Support\Collection<int,array<string, mixed>>::values() contains unresolvable type.
argument.unresolvableType	102	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Parameter #1 $callback of method Illuminate\Database\Eloquent\Collection<int,App\Models\BlogPost>::map() contains unresolvable type.
method.unresolvableReturnType	102	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Return type of call to method Illuminate\Database\Eloquent\Collection<int,App\Models\BlogPost>::map() contains unresolvable type.
property.notFound	108	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Access to an undefined property Illuminate\Database\Eloquent\Model::$name.
method.unresolvableReturnType	109	C:/Users/Kardansoft/Desktop/job-kimi/app/Http/Controllers/Api/HomeFeedController.php	Return type of call to method Illuminate\Support\Collection<int,array<string, mixed>>::all() contains unresolvable type.
